country,league,season,date,time,home_team,away_team,home_goals,away_goals,result,status,ps_home_odds,ps_draw_odds,ps_away_odds,max_home_odds,max_draw_odds,max_away_odds,avg_home_odds,avg_draw_odds,avg_away_odds,league_code,league_name_pl,result_1x2,is_played,is_future,source_file
,I1,,2023-08-26,19:45,Verona,Roma,2.0,1.0,H,,4.83,3.35,1.92,5.13,3.55,1.95,4.67,3.37,1.88,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-08-26,19:45,Milan,Torino,4.0,1.0,H,,1.78,3.64,5.25,1.8,3.8,5.75,1.74,3.63,5.1,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-08-26,17:30,Monza,Empoli,2.0,0.0,H,,1.95,3.8,4.04,2.01,3.8,4.15,1.93,3.66,3.96,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-08-26,17:30,Frosinone,Atalanta,2.0,1.0,H,,5.47,4.25,1.64,6.0,4.34,1.71,5.19,4.12,1.65,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-08-27,19:45,Lazio,Genoa,0.0,1.0,A,,1.88,3.74,4.42,1.91,4.05,5.0,1.8,3.75,4.56,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-08-27,19:45,Napoli,Sassuolo,2.0,0.0,H,,1.35,5.84,8.64,1.36,6.19,10.0,1.33,5.7,8.88,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-08-27,17:30,Fiorentina,Lecce,2.0,2.0,D,,1.7,3.92,5.44,1.73,4.07,5.75,1.69,3.87,5.21,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-08-27,17:30,Juventus,Bologna,1.0,1.0,D,,1.74,3.86,5.17,1.75,4.0,5.88,1.7,3.82,5.17,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-08-28,17:30,Salernitana,Udinese,1.0,1.0,D,,2.83,3.25,2.77,3.0,3.35,2.77,2.8,3.27,2.64,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-08-28,19:45,Cagliari,Inter,0.0,2.0,A,,7.61,5.05,1.43,8.86,5.05,1.45,7.55,4.76,1.42,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-09-01,17:30,Sassuolo,Verona,3.0,1.0,H,,2.04,3.65,3.86,2.05,3.74,4.1,1.97,3.61,3.84,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-09-01,19:45,Roma,Milan,1.0,2.0,A,,2.94,3.09,2.79,3.2,3.15,2.84,2.89,3.06,2.69,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-09-02,17:30,Udinese,Frosinone,0.0,0.0,D,,1.93,3.62,4.35,1.97,3.65,4.54,1.9,3.55,4.2,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-09-02,17:30,Bologna,Cagliari,2.0,1.0,H,,1.81,3.88,4.63,1.84,3.9,5.2,1.79,3.72,4.61,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-09-02,19:45,Napoli,Lazio,1.0,2.0,A,,1.67,4.18,5.24,1.71,4.5,5.7,1.64,4.15,5.24,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-09-02,19:45,Atalanta,Monza,3.0,0.0,H,,1.74,4.09,4.84,1.75,4.2,5.25,1.69,4.07,4.75,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-09-03,17:30,Inter,Fiorentina,4.0,0.0,H,,1.74,3.99,4.94,1.75,4.1,5.56,1.71,3.92,4.84,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-09-03,17:30,Torino,Genoa,1.0,0.0,H,,2.08,3.31,4.16,2.15,3.4,4.33,2.06,3.28,3.94,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-09-03,19:45,Empoli,Juventus,0.0,2.0,A,,5.56,4.09,1.66,5.8,4.2,1.66,5.43,4.04,1.63,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-09-03,19:45,Lecce,Salernitana,2.0,0.0,H,,2.01,3.42,4.27,2.06,3.44,4.46,1.97,3.33,4.21,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-09-16,14:00,Juventus,Lazio,3.0,1.0,H,,1.91,3.63,4.46,1.95,3.63,4.5,1.91,3.5,4.25,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-09-16,17:00,Inter,Milan,5.0,1.0,H,,2.19,3.46,3.63,2.28,3.58,3.73,2.17,3.44,3.44,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-09-16,19:45,Genoa,Napoli,2.0,2.0,D,,6.11,3.91,1.65,6.11,4.0,1.69,5.52,3.87,1.65,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-09-17,11:30,Cagliari,Udinese,0.0,0.0,D,,3.06,3.2,2.62,3.17,3.3,2.7,2.91,3.19,2.59,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-09-17,14:00,Frosinone,Sassuolo,4.0,2.0,H,,3.16,3.58,2.35,3.17,3.69,2.43,2.99,3.55,2.34,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-09-17,19:45,Roma,Empoli,7.0,0.0,H,,1.4,4.88,9.23,1.42,4.97,9.5,1.39,4.75,8.63,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-09-17,17:00,Fiorentina,Atalanta,3.0,2.0,H,,2.71,3.41,2.78,2.8,3.5,2.78,2.7,3.36,2.66,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-09-17,14:00,Monza,Lecce,1.0,1.0,D,,2.47,3.32,3.17,2.49,3.41,3.29,2.39,3.29,3.09,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-09-18,17:30,Salernitana,Torino,0.0,3.0,A,,3.87,3.11,2.26,3.96,3.21,2.26,3.71,3.1,2.19,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-09-18,19:45,Verona,Bologna,0.0,0.0,D,,3.47,3.41,2.27,3.61,3.47,2.28,3.36,3.37,2.21,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-09-22,17:30,Salernitana,Frosinone,1.0,1.0,D,,2.45,3.36,3.17,2.59,3.36,3.19,2.46,3.24,3.03,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-09-22,19:45,Lecce,Genoa,1.0,0.0,H,,2.65,3.19,3.02,2.65,3.2,3.27,2.53,3.11,2.99,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-09-23,17:00,Sassuolo,Juventus,4.0,2.0,H,,4.18,4.15,1.81,4.63,4.27,1.84,4.26,4.06,1.78,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-09-23,19:45,Lazio,Monza,1.0,1.0,D,,1.83,3.94,4.45,1.83,4.05,4.87,1.77,3.87,4.48,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-09-23,14:00,Milan,Verona,1.0,0.0,H,,1.39,5.0,9.25,1.42,5.13,9.5,1.39,4.81,8.69,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-09-24,19:45,Torino,Roma,1.0,1.0,D,,3.25,3.02,2.61,3.45,3.1,2.65,3.24,3.0,2.49,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-09-24,17:00,Bologna,Napoli,0.0,0.0,D,,3.48,3.63,2.18,3.79,3.72,2.2,3.54,3.56,2.08,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-09-24,11:30,Empoli,Inter,0.0,1.0,A,,11.25,6.2,1.29,13.0,6.4,1.34,10.88,5.94,1.28,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-09-24,14:00,Atalanta,Cagliari,2.0,0.0,H,,1.43,4.91,7.88,1.48,5.0,9.0,1.42,4.75,7.62,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-09-24,14:00,Udinese,Fiorentina,0.0,2.0,A,,3.34,3.34,2.36,3.54,3.4,2.36,3.31,3.31,2.28,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-09-26,19:45,Juventus,Lecce,1.0,0.0,H,,1.52,4.26,7.26,1.53,4.55,8.0,1.5,4.24,7.18,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-09-27,19:45,Lazio,Torino,2.0,0.0,H,,2.31,3.27,3.54,2.35,3.34,3.75,2.25,3.22,3.49,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-09-27,19:45,Napoli,Udinese,4.0,1.0,H,,1.43,5.07,7.42,1.45,5.45,9.0,1.4,5.07,7.8,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-09-27,19:45,Inter,Sassuolo,1.0,2.0,A,,1.28,6.79,9.97,1.29,7.16,12.0,1.26,6.72,9.88,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-09-27,17:30,Cagliari,Milan,1.0,3.0,A,,4.73,3.43,1.92,5.0,3.7,1.98,4.56,3.45,1.88,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-09-27,17:30,Empoli,Salernitana,1.0,0.0,H,,2.8,3.19,2.85,2.91,3.4,3.21,2.7,3.15,2.83,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-09-27,17:30,Verona,Atalanta,0.0,1.0,A,,4.48,3.66,1.9,4.61,3.73,1.95,4.27,3.6,1.89,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-09-28,19:45,Genoa,Roma,4.0,1.0,H,,4.1,3.24,2.13,4.57,3.32,2.14,4.05,3.21,2.06,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-09-28,17:30,Frosinone,Fiorentina,1.0,1.0,D,,3.97,3.65,2.01,4.09,3.75,2.07,3.78,3.58,1.99,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-09-28,17:30,Monza,Bologna,0.0,0.0,D,,2.31,3.45,3.35,2.39,3.5,3.4,2.29,3.37,3.23,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-09-30,14:00,Lecce,Napoli,0.0,4.0,A,,4.97,3.77,1.79,5.18,3.84,1.87,4.87,3.69,1.76,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-09-30,17:00,Milan,Lazio,2.0,0.0,H,,1.8,3.76,4.95,1.82,3.9,5.66,1.74,3.75,5.06,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-09-30,19:45,Salernitana,Inter,0.0,4.0,A,,7.89,4.96,1.43,9.34,5.2,1.46,8.0,4.88,1.41,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-10-01,17:00,Atalanta,Juventus,0.0,0.0,D,,2.37,3.38,3.29,2.57,3.55,3.29,2.4,3.26,3.12,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-10-01,19:45,Roma,Frosinone,2.0,0.0,H,,1.41,5.03,8.39,1.43,5.25,9.5,1.39,4.96,8.38,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-10-01,11:30,Bologna,Empoli,3.0,0.0,H,,1.73,3.96,4.81,1.75,4.07,5.5,1.71,3.91,5.02,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-10-01,14:00,Udinese,Genoa,2.0,2.0,D,,2.25,3.28,3.66,2.44,3.35,3.69,2.23,3.25,3.5,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-10-02,19:45,Fiorentina,Cagliari,3.0,0.0,H,,1.59,4.08,6.48,1.6,4.3,7.2,1.55,4.12,6.45,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-10-02,17:30,Sassuolo,Monza,0.0,1.0,A,,2.16,3.87,3.31,2.18,3.95,3.55,2.1,3.8,3.27,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-10-02,17:30,Torino,Verona,0.0,0.0,D,,1.76,3.47,5.81,1.88,3.6,5.99,1.77,3.44,5.4,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-10-06,17:30,Empoli,Udinese,0.0,0.0,D,,2.9,3.39,2.62,3.26,3.51,2.65,2.87,3.35,2.52,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-10-06,19:45,Lecce,Sassuolo,1.0,1.0,D,,2.74,3.45,2.72,2.84,3.58,2.8,2.67,3.42,2.66,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-10-07,14:00,Inter,Bologna,2.0,2.0,D,,1.32,5.7,10.25,1.36,6.0,11.0,1.32,5.53,9.4,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-10-07,17:00,Juventus,Torino,2.0,0.0,H,,2.07,3.2,4.39,2.15,3.27,4.52,2.06,3.12,4.23,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-10-07,19:45,Genoa,Milan,0.0,1.0,A,,4.5,3.44,1.96,4.73,3.52,2.0,4.34,3.38,1.94,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-10-08,19:45,Napoli,Fiorentina,1.0,3.0,A,,1.6,4.53,5.54,1.66,4.53,5.8,1.58,4.37,5.5,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-10-08,11:30,Monza,Salernitana,3.0,0.0,H,,1.75,3.91,5.0,1.75,4.1,5.3,1.71,3.92,4.94,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-10-08,14:00,Frosinone,Verona,2.0,1.0,H,,2.24,3.46,3.48,2.3,3.6,3.52,2.22,3.4,3.36,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-10-08,14:00,Lazio,Atalanta,3.0,2.0,H,,3.06,3.23,2.59,3.14,3.4,2.72,2.94,3.22,2.57,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-10-08,17:00,Cagliari,Roma,1.0,4.0,A,,5.03,3.52,1.84,6.0,3.75,1.86,5.03,3.55,1.77,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-10-21,19:45,Sassuolo,Lazio,0.0,2.0,A,,2.87,3.56,2.55,3.03,3.65,2.56,2.79,3.53,2.49,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-10-21,14:00,Verona,Napoli,1.0,3.0,A,,5.86,4.18,1.62,6.5,4.3,1.65,5.71,4.09,1.61,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-10-21,17:00,Torino,Inter,0.0,3.0,A,,5.47,3.81,1.72,5.66,3.9,1.8,5.19,3.76,1.71,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-10-22,19:45,Milan,Juventus,0.0,1.0,A,,2.16,3.33,3.87,2.25,3.44,4.03,2.15,3.26,3.71,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-10-22,17:00,Atalanta,Genoa,2.0,0.0,H,,1.54,4.4,6.56,1.56,4.6,7.0,1.53,4.29,6.5,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-10-22,14:00,Salernitana,Cagliari,2.0,2.0,D,,2.34,3.38,3.35,2.43,3.38,3.52,2.35,3.23,3.26,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-10-22,14:00,Bologna,Frosinone,2.0,1.0,H,,1.74,3.92,5.1,1.78,4.0,5.19,1.74,3.83,4.77,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-10-22,11:30,Roma,Monza,1.0,0.0,H,,1.76,3.8,5.1,1.8,3.86,5.63,1.74,3.72,5.05,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-10-23,17:30,Udinese,Lecce,1.0,1.0,D,,2.16,3.24,3.9,2.25,3.35,4.0,2.14,3.23,3.72,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-10-23,19:45,Fiorentina,Empoli,0.0,2.0,A,,1.43,4.89,7.69,1.45,5.0,7.97,1.43,4.86,7.37,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-10-27,19:45,Genoa,Salernitana,1.0,0.0,H,,1.75,3.69,5.29,1.79,3.86,5.3,1.75,3.67,5.07,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-10-28,17:00,Lecce,Torino,0.0,1.0,A,,2.79,2.93,3.05,2.92,3.1,3.1,2.74,2.95,2.95,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-10-28,19:45,Juventus,Verona,1.0,0.0,H,,1.41,4.84,8.69,1.41,5.25,11.0,1.37,4.93,9.21,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-10-28,14:00,Sassuolo,Bologna,1.0,1.0,D,,2.58,3.46,2.85,2.76,3.64,2.85,2.59,3.46,2.72,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-10-29,11:30,Cagliari,Frosinone,4.0,3.0,H,,2.19,3.46,3.54,2.34,3.5,3.57,2.2,3.4,3.39,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-10-29,14:00,Monza,Udinese,1.0,1.0,D,,2.13,3.53,3.64,2.16,3.53,3.97,2.1,3.43,3.61,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-10-29,17:00,Inter,Roma,1.0,0.0,H,,1.54,4.21,6.83,1.62,4.35,7.5,1.54,4.13,6.45,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-10-29,19:45,Napoli,Milan,2.0,2.0,D,,2.27,3.43,3.39,2.37,3.47,3.4,2.26,3.37,3.28,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-10-30,17:30,Empoli,Atalanta,0.0,3.0,A,,5.06,4.15,1.67,5.5,4.37,1.7,5.09,4.09,1.65,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-10-30,19:45,Lazio,Fiorentina,1.0,0.0,H,,2.33,3.38,3.3,2.42,3.5,3.61,2.32,3.35,3.21,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-11-03,19:45,Bologna,Lazio,1.0,0.0,H,,2.76,3.08,2.95,2.78,3.23,2.95,2.71,3.08,2.86,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-11-04,19:45,Milan,Udinese,0.0,1.0,A,,1.44,4.58,8.23,1.47,4.9,8.3,1.44,4.53,7.61,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-11-04,17:00,Atalanta,Inter,1.0,2.0,A,,3.62,3.48,2.15,3.75,3.6,2.17,3.53,3.49,2.12,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-11-04,14:00,Salernitana,Napoli,0.0,2.0,A,,8.15,5.28,1.39,9.5,5.65,1.42,7.97,5.15,1.38,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-11-05,14:00,Cagliari,Genoa,2.0,1.0,H,,2.76,2.98,3.05,2.83,3.2,3.05,2.71,3.03,2.91,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-11-05,11:30,Verona,Monza,1.0,3.0,A,,3.21,3.15,2.51,3.21,3.3,2.55,3.09,3.16,2.47,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-11-05,19:45,Fiorentina,Juventus,0.0,1.0,A,,2.9,3.15,2.75,3.05,3.26,2.81,2.88,3.14,2.66,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-11-05,17:00,Roma,Lecce,2.0,1.0,H,,1.56,4.01,7.2,1.57,4.22,7.32,1.54,3.94,6.79,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-11-06,17:30,Frosinone,Empoli,2.0,1.0,H,,2.18,3.59,3.44,2.33,3.6,3.54,2.18,3.48,3.38,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-11-06,19:45,Torino,Sassuolo,2.0,1.0,H,,2.09,3.45,3.86,2.1,3.55,3.9,2.07,3.43,3.73,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-11-10,17:30,Sassuolo,Salernitana,2.0,2.0,D,,1.76,4.0,4.7,1.76,4.2,4.75,1.72,3.99,4.52,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-11-10,19:45,Genoa,Verona,1.0,0.0,H,,1.87,3.35,5.09,1.94,3.38,5.3,1.85,3.29,4.99,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-11-11,14:00,Lecce,Milan,2.0,2.0,D,,5.14,3.56,1.8,5.3,3.75,1.81,5.02,3.59,1.77,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-11-11,17:00,Juventus,Cagliari,2.0,1.0,H,,1.46,4.62,8.26,1.51,4.7,8.5,1.45,4.43,7.66,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-11-11,19:45,Monza,Torino,1.0,1.0,D,,2.79,3.13,2.86,2.95,3.2,3.09,2.77,3.09,2.78,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-11-12,19:45,Inter,Frosinone,2.0,0.0,H,,1.17,8.5,16.0,1.2,8.8,17.0,1.17,8.03,15.33,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-11-12,17:00,Lazio,Roma,0.0,0.0,D,,3.0,2.91,2.85,3.16,3.0,2.94,2.96,2.91,2.77,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-11-12,11:30,Napoli,Empoli,0.0,1.0,A,,1.29,6.3,10.0,1.32,6.75,12.5,1.29,6.09,9.84,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-11-12,14:00,Fiorentina,Bologna,2.0,1.0,H,,2.04,3.47,3.98,2.06,3.51,4.1,2.03,3.41,3.87,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-11-12,14:00,Udinese,Atalanta,1.0,1.0,D,,3.53,3.46,2.2,3.87,3.54,2.23,3.48,3.43,2.15,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-11-25,17:00,Atalanta,Napoli,1.0,2.0,A,,2.53,3.42,2.94,2.76,3.58,2.95,2.55,3.43,2.8,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-11-25,19:45,Milan,Fiorentina,1.0,0.0,H,,2.13,3.37,3.83,2.16,3.5,4.02,2.11,3.37,3.66,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-11-25,14:00,Salernitana,Lazio,2.0,1.0,H,,4.58,3.46,1.92,4.81,3.68,1.98,4.54,3.52,1.86,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-11-26,11:30,Cagliari,Monza,1.0,1.0,D,,2.72,3.25,2.84,2.8,3.4,2.97,2.7,3.23,2.72,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-11-26,14:00,Empoli,Sassuolo,3.0,4.0,A,,2.67,3.55,2.69,2.85,3.6,2.71,2.66,3.5,2.62,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-11-26,14:00,Frosinone,Genoa,2.0,1.0,H,,2.48,3.22,3.18,2.62,3.35,3.29,2.46,3.2,3.08,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-11-26,17:00,Roma,Udinese,3.0,1.0,H,,1.66,3.83,6.0,1.7,3.95,6.5,1.64,3.79,5.82,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-11-26,19:45,Juventus,Inter,1.0,1.0,D,,3.6,3.16,2.31,3.62,3.35,2.34,3.45,3.17,2.28,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-11-27,19:45,Bologna,Torino,2.0,0.0,H,,2.38,3.07,3.56,2.46,3.15,3.81,2.35,3.02,3.42,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-11-27,17:30,Verona,Lecce,2.0,2.0,D,,2.88,3.02,2.87,2.95,3.05,2.92,2.81,2.95,2.83,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-12-01,19:45,Monza,Juventus,1.0,2.0,A,,4.37,3.43,1.93,4.77,3.49,2.02,4.28,3.38,1.93,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-12-02,14:00,Genoa,Empoli,1.0,1.0,D,,2.03,3.41,4.11,2.05,3.41,4.53,2.0,3.31,4.15,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-12-02,17:00,Lazio,Cagliari,1.0,0.0,H,,1.74,3.84,5.16,1.75,4.05,5.8,1.69,3.84,5.22,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-12-02,19:45,Milan,Frosinone,3.0,1.0,H,,1.45,4.88,7.17,1.48,5.1,8.25,1.44,4.75,7.24,ITA,Włochy,1,True,False,ITALY_2324.csv
,I1,,2023-12-03,17:00,Sassuolo,Roma,1.0,2.0,A,,3.63,3.5,2.14,3.75,3.72,2.15,3.57,3.55,2.08,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-12-03,14:00,Udinese,Verona,3.0,3.0,D,,1.84,3.63,4.74,1.87,3.7,5.0,1.82,3.58,4.56,ITA,Włochy,X,True,False,ITALY_2324.csv
,I1,,2023-12-03,19:45,Napoli,Inter,0.0,3.0,A,,3.06,3.56,2.38,3.23,3.58,2.49,2.97,3.46,2.4,ITA,Włochy,2,True,False,ITALY_2324.csv
,I1,,2023-12-03,11:30,Lecce,Bologna,1.0,1.0,D,,3.15,3.04,2.62,3.31,3.11,2.69,3.04,3.04,2.58,ITA,Włochy,X,True,False,ITALY_2324.csv
